candidate,instance,step,x
15,33,4,33.63
15,33,5,33.75
15,33,6,33.88
15,34,0,34.13
15,34,2,34.38
15,35,2,35.38
15,35,6,35.88
15,36,2,36.38
15,36,3,36.5
15,37,2,37.38
15,37,3,37.5
15,37,4,37.63
15,37,5,37.75
15,37,6,37.88
15,38,2,38.38
15,38,3,38.5
15,38,4,38.63
15,39,2,39.38
15,39,3,39.5
15,39,4,39.63
15,39,5,39.75
15,40,2,40.38
15,41,2,41.38
15,42,2,42.38
16,0,3,0.5
16,0,4,0.63
16,0,5,0.75
16,0,6,0.88
16,2,3,2.5
16,5,3,5.5
16,5,4,5.63
16,5,5,5.75
16,5,6,5.88
16,6,3,6.5
16,6,4,6.63
16,6,5,6.75
16,6,6,6.88
16,7,3,7.5
16,7,4,7.63
16,7,5,7.75
16,7,6,7.88
16,8,3,8.5
16,8,4,8.63
16,8,5,8.75
16,9,3,9.5
16,9,4,9.63
16,9,5,9.75
16,14,3,14.5
16,14,4,14.63
16,14,5,14.75
16,14,6,14.88
16,15,3,15.5
16,15,4,15.63
16,17,3,17.5
16,17,4,17.63
16,17,5,17.75
16,17,6,17.88
16,24,3,24.5
16,24,4,24.63
16,25,3,25.5
16,25,4,25.63
16,25,5,25.75
16,25,6,25.88
16,26,3,26.5
16,26,4,26.63
16,26,5,26.75
16,26,6,26.88
16,31,3,31.5
16,31,4,31.63
16,38,3,38.5
16,38,4,38.63
16,38,5,38.75
16,39,3,39.5
16,39,4,39.63
16,39,5,39.75
16,39,6,39.88
16,43,3,43.5
16,43,4,43.63
16,43,5,43.75
17,0,2,0.38
17,0,3,0.5
17,0,4,0.63
17,1,2,1.38
17,2,4,2.63
17,3,1,3.25
17,4,2,4.38
17,6,2,6.38
17,6,3,6.5
17,6,4,6.63
17,6,5,6.75
17,6,6,6.88
17,8,2,8.38
17,8,3,8.5
17,8,4,8.63
17,8,5,8.75
17,11,2,11.38
17,13,2,13.38
17,15,2,15.38
17,15,3,15.5
17,15,4,15.63
17,16,2,16.38
17,18,2,18.38
17,18,3,18.5
17,19,2,19.38
17,20,2,20.38
17,22,2,22.38
17,23,2,23.38
17,26,2,26.38
17,26,3,26.5
17,26,4,26.63
17,26,5,26.75
17,26,6,26.88
17,27,5,27.75
17,29,2,29.38
17,30,2,30.38
17,31,2,31.38
17,31,3,31.5
17,31,4,31.63
17,31,5,31.75
17,31,6,31.88
17,32,2,32.38
17,32,3,32.5
17,33,2,33.38
17,34,0,34.13
17,35,2,35.38
17,35,6,35.88
17,36,1,36.25
17,37,2,37.38
17,37,3,37.5
17,37,4,37.63
17,37,5,37.75
17,37,6,37.88
17,38,2,38.38
17,38,3,38.5
17,38,4,38.63
17,38,5,38.75
17,38,6,38.88
17,40,2,40.38
17,41,2,41.38
17,42,2,42.38
18,0,1,0.25
18,0,2,0.38
18,0,3,0.5
18,0,4,0.63
18,1,1,1.25
18,1,3,1.5
18,2,1,2.25
18,2,2,2.38
18,2,3,2.5
18,4,1,4.25
18,5,1,5.25
18,5,2,5.38
18,6,1,6.25
18,6,2,6.38
18,7,1,7.25
18,7,2,7.38
18,9,1,9.25
18,9,2,9.38
18,10,1,10.25
18,13,1,13.25
18,14,1,14.25
18,14,2,14.38
18,15,1,15.25
18,15,2,15.38
18,15,3,15.5
18,17,1,17.25
18,19,1,19.25
18,19,2,19.38
18,20,1,20.25
18,21,1,21.25
18,21,2,21.38
18,21,3,21.5
18,21,4,21.63
18,22,1,22.25
18,23,1,23.25
18,24,1,24.25
18,24,2,24.38
18,24,3,24.5
18,25,1,25.25
18,25,2,25.38
18,25,3,25.5
18,26,1,26.25
18,26,2,26.38
18,26,3,26.5
18,26,4,26.63
18,27,1,27.25
18,27,2,27.38
18,27,3,27.5
18,28,1,28.25
18,29,1,29.25
18,30,1,30.25
18,31,1,31.25
18,33,1,33.25
18,35,1,35.25
18,36,1,36.25
18,37,1,37.25
18,38,0,38.13
18,38,1,38.25
18,42,1,42.25
18,43,1,43.25
18,43,2,43.38
18,43,3,43.5
18,43,4,43.63
19,0,3,0.5
19,0,4,0.63
19,0,5,0.75
19,1,3,1.5
19,2,6,2.88
19,3,3,3.5
19,4,3,4.5
19,6,3,6.5
19,6,4,6.63
19,6,5,6.75
19,6,6,6.88
19,8,3,8.5
19,8,4,8.63
19,8,5,8.75
19,10,3,10.5
19,11,3,11.5
19,12,3,12.5
19,13,3,13.5
19,13,4,13.63
19,13,5,13.75
19,13,6,13.88
19,15,3,15.5
